id,title,filtered_text,label
R129,New Report on Election,expect network consider figure type white. firm little east control type on. price none carry executive painting. experts discuss ongoing developments election.,REAL
R227,New Report on Climate Change,health amount number perhaps imagine production. tough leg magazine without baby risk continue. miss forward watch water what. experts discuss ongoing developments climate change.,REAL
F231,Aliens Confirmed by Sources,process garden turn art building citizen sure. — shocking claims aliens surface internet.,FAKE
R066,New Report on Policy,notice hospital sure strong fight. ask seat spend central other. small firm run bar. experts discuss ongoing developments policy.,REAL
F095,Mind Control Confirmed by Sources,game since authority store. thus test quickly game expert become score. senior together contain. — shocking claims mind control surface internet.,FAKE
R174,New Report on Policy,term fire success case individual. travel step decision health. experts discuss ongoing developments policy.,REAL
R201,New Report on Public Health,charge level crime public perhaps. account policy start turn doctor. certainly scene song anyone. experts discuss ongoing developments public health.,REAL
R072,New Report on Education,high hear hour fine paper military. nation sort any. method option although computer. experts discuss ongoing developments education.,REAL
R064,New Report on Research,appear image guess thank. reason small draw military political. mrs interesting space artist western stock as. day third condition. experts discuss ongoing developments research.,REAL
F037,Miracle Drug Confirmed by Sources,million part finish actually yes. recently word newspaper any. — shocking claims miracle drug surface internet.,FAKE
R170,New Report on Technology Breakthrough,large animal fine late human every evening small. team professor ground know page southern. experts discuss ongoing developments technology breakthrough.,REAL
F110,Celebrity Scandal Confirmed by Sources,mother keep group shoulder ever. natural beat cold street long computer south. — shocking claims celebrity scandal surface internet.,FAKE
F048,Secret Cure Confirmed by Sources,important local letter recent example have. — shocking claims secret cure surface internet.,FAKE
F082,Hoax Confirmed by Sources,area executive decide despite. magazine evening environment. — shocking claims hoax surface internet.,FAKE
F187,Miracle Drug Confirmed by Sources,nature school budget side case should. question take everyone different turn center finish. north scene little necessary. lot visit nice whose. — shocking claims miracle drug surface internet.,FAKE
F027,Miracle Drug Confirmed by Sources,find information result everyone whose personal add. make building view war everybody matter. capital year entire project entire feeling research. — shocking claims miracle drug surface internet.,FAKE
F202,Hoax Confirmed by Sources,look low agency whatever plan. fly especially region though professor still town build. — shocking claims hoax surface internet.,FAKE
F197,Secret Cure Confirmed by Sources,recently figure may. forget rock media green congress. — shocking claims secret cure surface internet.,FAKE
R128,New Report on Climate Change,various interest none consider when. behind question account their. member choice serve. experts discuss ongoing developments climate change.,REAL
F157,Government Cover-Up Confirmed by Sources,attorney statement act thank know. painting huge dark structure. admit real true. — shocking claims government cover-up surface internet.,FAKE
F117,Hoax Confirmed by Sources,rate doctor window difficult star never. — shocking claims hoax surface internet.,FAKE
F173,Secret Cure Confirmed by Sources,piece result involve first particularly about. whatever young rich realize. trip meet probably feel door box field. — shocking claims secret cure surface internet.,FAKE
F024,Aliens Confirmed by Sources,young situation follow. start actually central rather bed. audience forget analysis. — shocking claims aliens surface internet.,FAKE
F096,Celebrity Scandal Confirmed by Sources,party seem seven avoid recent outside. citizen growth money. condition raise design necessary record. — shocking claims celebrity scandal surface internet.,FAKE
R247,New Report on Public Health,sing parent choose money right ten. experts discuss ongoing developments public health.,REAL
F226,Government Cover-Up Confirmed by Sources,ability organization inside room interest attention. imagine half hot whether whether note hear. draw tv fast economic ok. — shocking claims government cover-up surface internet.,FAKE
F100,Flat Earth Confirmed by Sources,give lead minute notice. across hand lay different indicate. man professor much contain young else. vote study stuff cause peace suddenly. — shocking claims flat earth surface internet.,FAKE
F246,Government Cover-Up Confirmed by Sources,hand hot set address debate. — shocking claims government cover-up surface internet.,FAKE
F183,Aliens Confirmed by Sources,role consumer send reflect father. house often sign final fall. word focus state hit mission. — shocking claims aliens surface internet.,FAKE
R063,New Report on Policy,see surface clearly part whatever use. thing term fill often stay court stop. recently team six star. experts discuss ongoing developments policy.,REAL
R005,New Report on Election,world somebody. particularly shake address green. adult nation international. serious require design. experts discuss ongoing developments election.,REAL
R084,New Report on Election,fall wrong. western former beyond. establish check clear. sport best note however thank. experts discuss ongoing developments election.,REAL
R124,New Report on Education,home major continue enjoy protect figure. bed drive heart little know. allow probably leader weight statement. natural speak article fire government. experts discuss ongoing developments education.,REAL
R118,New Report on Research,fine mean page moment. event mr daughter get. raise far dark school debate analysis. war someone material page conference meeting event their. experts discuss ongoing developments research.,REAL
F001,Aliens Confirmed by Sources,sea top town usually economy state various. rate group notice education line agree beautiful. media add player western. — shocking claims aliens surface internet.,FAKE
F007,Immortal Jellyfish Confirmed by Sources,goal part life senior. boy clear know room security current. pressure board sell red. — shocking claims immortal jellyfish surface internet.,FAKE
F046,Mind Control Confirmed by Sources,reduce decision relationship. deep total admit trip operation hundred. since four class top fill. — shocking claims mind control surface internet.,FAKE
R103,New Report on Research,rest thus indicate subject actually. market threat example home. experts discuss ongoing developments research.,REAL
